command,source_path,owner,category,status,effect,mutates,usage_access,summary,usage,examples,notes,risk,related,lead_comments
SECURITY,src/cli/cmd_security.cpp,DOT|SECURITY,diagnostics,supported,mixed,none,SECURITY USAGE,"Display x64Base security policy/runtime diagnostics or run built-in security
  self-tests.","SECURITY USAGE
  SECURITY SHOW
  SECURITY SELFTEST
  SECURITY RUNTIME",,"SECURITY with no arguments prints usage.
  SHOW displays the active policy and profile roots.
  SELFTEST runs built-in security tests.
  RUNTIME describes runtime enforcement rules.
  SECURITY does not mutate table data.",,"ERROR_TEST
  VALIDATE",
SEEK,src/cli/cmd_seek.cpp,DOT|SEEK,navigation,supported,navigate,cursor seek-trace-state,SEEK USAGE,Seek a value through the active order/tag or by scanning a specified field.,"SEEK USAGE
  SEEK <value> IN <field> [TRACE ON|OFF]
  SEEK <field> = <value> [TRACE ON|OFF]
  SEEK <field> <value> [TRACE ON|OFF]
  SEEK <value>
  SEEK TRACE ON
  SEEK TRACE OFF",,"SEEK USAGE works without an open table.
  Bare SEEK with no open table preserves existing behavior and prints (empty).
  SEEK <value> uses the active order/tag when one is set.
  SET NEAR affects near-match reporting policy.
  SEEK may temporarily move the cursor while searching and leaves the cursor on a found/near match.",,"FIND
  INDEXSEEK
  SET ORDER
  SET NEAR","  SEEK <field> <value>
  SEEK TRACE ON|OFF
Notes:
- SEEK USAGE is a usage-contract probe and works without an open table.
- Bare SEEK with no open table preserves current behavior: ""(empty)"".
- Exact-match semantics by default.
- SET NEAR ON allows active-order SEEK to land on the first near key
  in the current index direction when no exact key exists.
- Comparison is case-insensitive trimmed character comparison,
  matching the previous dev-tool behavior.
- When routed through CDX, iteration follows the current active direction
  and returns the first exact record encountered in that order."
SELECT,src/cli/cmd_select.cpp,DOT|SELECT,workspace,supported,select,current-area,SELECT USAGE,Select the current work area by numeric slot or by work-area/table name.,"SELECT USAGE
  SELECT <n>
  SELECT <name>
  SELECT <table.dbf>",,"SELECT with no arguments prints usage with the current valid slot range.
  SELECT USAGE prints usage and does not change the current area.
  Numeric selection uses the current workarea slot count.
  Name selection matches workarea labels and open DBF base names case-insensitively.
  SELECT mutates current-area/session state but does not mutate table data.",,"AREA
  DBAREA
  WORKSPACE","src/cli/cmd_select.cpp ? SELECT <area#|name>
Supports selecting by numeric slot (0..N-1) or by name/label (case-insensitive).
Name matching checks workareas::name(i) and the DBF base name from DbArea::filename().
Output style (matches your UX):
  Selected area 9.
  Current area: 9
    File: <path>  Recs: <count>  Recno: <current>
Deps: workareas.hpp, xbase.hpp"
SET,src/cli/cmd_set.cpp,DOT|SET,settings,supported,mixed,settings output-routing table-buffer order-state filter-state relation-state path-state,SET USAGE,"General SET dispatcher for session settings, output routing, table buffering,
  paths, case/near behavior, and index/order/filter/relation subcommands.","SET
  SET USAGE
  SET TABLE BUFFER ON
  SET TABLE BUFFER OFF
  SET TABLE BUFFER ON ALL
  SET TABLE BUFFER OFF ALL
  SET CONSOLE ON
  SET CONSOLE OFF
  SET PRINT ON
  SET PRINT OFF
  SET PRINT TO <file>
  SET DEVICE TO SCREEN
  SET DEVICE TO FILE <path>
  SET DEVICE TO PRINTER
  SET DEVICE TO NULL
  SET ALTERNATE ON
  SET ALTERNATE OFF
  SET ALTERNATE TO <file>
  SET TALK ON
  SET TALK OFF
  SET ECHO ON
  SET ECHO OFF
  SET PAGING ON
  SET PAGING OFF
  SET WRAP ON
  SET WRAP OFF
  SET DELETED ON
  SET DELETED OFF
  SET CASE ON
  SET CASE OFF
  SET NEAR ON
  SET NEAR OFF
  SET EDITOR TO <value>
  SET EDITOR TO DEFAULT
  SET EDITOR TO OFF
  SET LANGUAGE
  SET LANGUAGE TO <locale|DEFAULT>
  SET LOCALE
  SET LOCALE TO <locale|DEFAULT>
  SET LANGUAGE CHECK
  SET LANGUAGE REPORT
  SET LOCALE CHECK
  SET LOCALE REPORT
  SET PATH <slot> <path>
  SET INDEX <args>
  SET ORDER <args>
  SET FILTER <args>
  SET RELATION <args>
  SET CNX <args>
  SET CDX <args>
  SET LMDB <args>",,"SET with no arguments shows usage.
  SET USAGE shows usage without mutating settings.
  SET PATH, INDEX, ORDER, FILTER, RELATION, CNX, CDX, and LMDB delegate to their command handlers.
  Output routing settings mutate session output behavior only.
  TABLE BUFFER toggles table buffering state for the current area or all open areas.
  SET CASE and SET NEAR mutate expression/search behavior settings.
  SET may mutate table-buffer, order, path, relation, filter, and output state depending on the option.",,"SETPATH
  SETINDEX
  SETORDER
  SETFILTER
  SET_RELATION
  SETCASE
  SETNEAR","src/cli/cmd_set.cpp
FoxPro-style SET command router for DotTalk++"
SET CASE,src/cli/cmd_setcase.cpp,DOT|SET CASE,settings,supported,configure,case-sensitivity-setting,SET CASE USAGE,Report or set predicate/expression case-sensitivity behavior.,"SET CASE
  SET CASE USAGE
  SET CASE ON
  SET CASE OFF
  SETCASE
  SETCASE USAGE
  SETCASE ON
  SETCASE OFF",,"SET CASE with no arguments reports current case sensitivity.
  SETCASE with no arguments reports current case sensitivity.
  ON, TRUE, and 1 enable case-sensitive predicate behavior.
  OFF, FALSE, and 0 disable case-sensitive predicate behavior.",,"SET
  SET NEAR
  LOCATE
  FIND",src/cli/cmd_setcase.cpp
SET CDX,src/cli/cmd_setcdx.cpp,DOT|SET CDX,index,supported,attach,order-state,SET CDX USAGE,"Attach a CDX index container to the current area order state, using an explicit
  name/path or the current table default.","SET CDX USAGE
  SET CDX
  SET CDX <name-or-path>
  SETCDX
  SETCDX USAGE
  SETCDX <name-or-path>",,"SET CDX with no arguments resolves the default <table>.cdx container.
  Relative names resolve through the INDEXES path slot.
  The target file must exist.
  Attachment is owned by the order subsystem.
  This mutates order/session state but not table records.",,"SET INDEX
  SET ORDER
  CDX","src/cli/cmd_setcdx.cpp
SET CDX [<name-or-path>]
Resolve CDX using SET PATH INDEXES slot via cli/path_resolver."
SET CNX,src/cli/cmd_setcnx.cpp,DOT|SET CNX,index,supported,attach,order-state,SET CNX USAGE,"Attach a CNX index container to the current area order state, using an explicit
  name/path or the current table default.","SET CNX USAGE
  SET CNX
  SET CNX <name-or-path>
  SETCNX
  SETCNX USAGE
  SETCNX <name-or-path>",,"SET CNX with no arguments resolves the default <table>.cnx container.
  Relative names resolve through the INDEXES path slot.
  The target file must exist.
  Attachment is owned by the order subsystem.
  This mutates order/session state but not table records.",,"SET INDEX
  SET ORDER
  CNX","src/cli/cmd_setcnx.cpp
SET CNX [<name-or-path>]
Resolve CNX using SET PATH INDEXES slot via cli/path_resolver."
SET FILTER,src/cli/cmd_setfilter.cpp,DOT|SET FILTER,query,supported,configure,filter-state,SET FILTER USAGE,Set or clear the per-area filter expression used by selector-backed scans.,"SET FILTER USAGE
  SET FILTER TO <expr>
  SET FILTER TO
  SETFILTER USAGE
  SETFILTER TO <expr>
  SETFILTER TO",,"SET FILTER with no arguments shows usage.
  SET FILTER TO with no expression clears the filter.
  SET FILTER TO <expr> validates and activates the filter expression.
  Filter state is keyed by DbArea pointer and also registered with the shared filter registry.
  SET FILTER mutates selection/session state but not table records.",,"COUNT
  LOCATE
  LIST
  SET",
SET INDEX,src/cli/cmd_setindex.cpp,DOT|SET INDEX,index,supported,attach,order-state index-backend cursor,SET INDEX USAGE,"Flavor-aware SET INDEX command that attaches INX, CNX, or CDX containers and
  can seed an active tag immediately.","SET INDEX USAGE
  SET INDEX TO <container>
  SET INDEX TO <container> TAG <tag>
  SET INDEX TO <container> <tag>
  SETINDEX USAGE
  SETINDEX TO <container>
  SETINDEX TO <container> TAG <tag>
  SETINDEX TO <container> <tag>",,"SET INDEX requires an open table except for usage.
  Explicit extensions are validated by table flavor.
  v32 tables accept INX or CNX.
  v64 tables require CDX.
  Bare container names resolve through the INDEXES path slot.
  CDX attachment also requires the LMDB environment to exist.
  Container attach and tag activation are treated as related but separate decisions.
  INX is single-order; supplied tag names are accepted but ignored.
  On hard failure, active index/order state is cleared to avoid stale ordering.",,"SET ORDER
  INDEX
  REINDEX
  CDX
  CNX","- SET INDEX TO <container>
    attach container only (current behavior preserved)
- SET INDEX TO <container> TAG <tag>
    attach container and seed the active tag immediately
- SET INDEX TO <container> <tag>
    shorthand form for the same
Behavioral rule:
- Container attach and tag activation are treated as two related decisions.
- If container attach succeeds but tag activation cannot be honored, the
  container should still remain attached.
- For .inx, trailing TAG / bare tag is accepted but ignored, because INX is
  effectively a single-order container."
SET LMDB,src/cli/cmd_setlmdb.cpp,DOT|SET LMDB,index,developer,configure,order-state index-backend,SET LMDB USAGE,Select LMDB-backed CDX ordering per area without touching global LMDB state.,"SET LMDB
  SET LMDB USAGE
  SET LMDB 0
  SET LMDB <stem>
  SET LMDB <container.cdx>
  SET LMDB <envdir.cdx.d>
  SET LMDB <stem> <tag>
  SET LMDB <stem> <tag> --asc
  SET LMDB <stem> <tag> --desc
  SETLMDB
  SETLMDB USAGE
  SETLMDB 0
  SETLMDB <stem> <tag>",,"SET LMDB with no arguments reports current LMDB/order state.
  SET LMDB 0 clears ordering and closes the current index manager.
  Bare stems resolve through the INDEXES path slot as <stem>.cdx.
  .cdx.d environment directory tokens normalize back to the public .cdx container.
  Default tag is LNAME when no tag is supplied.
  This command opens the per-area CDX backend and never uses a global LMDB singleton.",,"LMDB
  SET INDEX
  SET ORDER
  CDX","src/cli/cmd_setlmdb.cpp
SETLMDB: select LMDB-backed ordering (container/tag/asc/desc) per area.
Ownership rule enforced here:
  DbArea -> IndexManager -> CdxBackend -> LMDB env
No global LMDB singleton is touched from this command.
Behavior:
  SETLMDB 0                      -> clear ordering (physical)
  SETLMDB                        -> report state
  SETLMDB <stem|cdx|envdir>      -> default tag selection
  SETLMDB <...> <TAG> [--asc|--desc]"
SET NEAR,src/cli/cmd_setnear.cpp,DOT|SET NEAR,settings,supported,configure,near-search-setting,SET NEAR USAGE,Report or set SEEK/FIND near-match behavior.,"SET NEAR
  SET NEAR USAGE
  SET NEAR ON
  SET NEAR OFF
  SETNEAR
  SETNEAR USAGE
  SETNEAR ON
  SETNEAR OFF",,"SET NEAR with no arguments reports current NEAR state.
  ON, TRUE, and 1 enable nearest greater-or-equal match behavior.
  OFF, FALSE, and 0 require exact matches.
  This mutates search behavior settings only.",,"SEEK
  FIND
  SET CASE",src/cli/cmd_setnear.cpp
SET ORDER,src/cli/cmd_setorder.cpp,DOT|SET ORDER,index,supported,configure,order-state index-backend cursor,SET ORDER USAGE,FoxPro-style SET ORDER command with CNX and CDX-aware tag activation.,"SET ORDER
  SET ORDER USAGE
  SET ORDER 0
  SET ORDER PHYSICAL
  SET ORDER NATURAL
  SET ORDER PHYS
  SET ORDER <tag>
  SET ORDER TAG <tag>
  SET ORDER TAG <tag> IN <alias>
  SET ORDER <container> <tag>
  SET ORDER <container> <tag> ASC
  SET ORDER <container> <tag> DESC
  SETORDER
  SETORDER USAGE
  SETORDER <tag>",,"SET ORDER with no arguments reports the active order or physical order.
  SET ORDER 0, PHYSICAL, NATURAL, and PHYS clear active order.
  Bare tag forms prefer an already-attached compatible container.
  If no suitable container is attached, fallback is flavor-aware.
  v32 tables default to CNX.
  v64 tables default to CDX.
  IN <alias> modifies the target area without changing the selected area.
  INX activation is intentionally not handled by SET ORDER.",,"SET INDEX
  SET CDX
  SET CNX
  INDEX
  REINDEX","    v64 -> <table>.cdx
- For IN <alias>, target area is modified without changing the selected area.
- Numeric tag-number orders remain reserved/minimal for now.
Policy:
- v32: CNX is the tag-container path.
- v64: CDX (LMDB-backed) is the tag-container path.
- INX remains valid for SET INDEX attachment, but tag activation via
  SET ORDER is intentionally not handled here.
CDX policy:
- Public CDX container resolves under INDEXES.
- LMDB backend resolves under LMDB.
- This command validates both paths before attempting backend activation."
SET PATH,src/cli/cmd_setpath_command.cpp,DOT|SET PATH,settings,supported,configure,path-state,SET PATH USAGE,"Report, reset, or configure DotTalk++ path slots.","SETPATH
  SETPATH USAGE
  SETPATH RESET
  SETPATH DATA <path>
  SETPATH DBF <path>
  SETPATH XDBF <path>
  SETPATH INDEXES <path>
  SETPATH LMDB <path>
  SETPATH WORKSPACES <path>
  SETPATH SCHEMAS <path>
  SETPATH PROJECTS <path>
  SETPATH SCRIPTS <path>
  SETPATH TESTS <path>
  SETPATH HELP <path>
  SETPATH LOGS <path>
  SETPATH TMP <path>
  SET PATH <slot> <path>
  SET PATH <slot> TO <path>
  SET PATH <slot> = <path>",,"SETPATH with no arguments reports all path slots.
  RESET restores defaults based on the current DATA root.
  SET PATH forms route through SETPATH.
  DATA resolves relative to the application root.
  Other top-level slots resolve relative to the current DATA root.
  Validation is non-blocking; missing or wrong-kind paths warn but assignment still succeeds.",,"SET
  DDL
  USE
  WORKSPACE","  SET PATH DBF = xdbf
  SET PATH DBF TO xdbf
  SET PATH DBF TO = xdbf
  SET PATH DBF = TO xdbf
Relative path behavior:
  - DATA resolves relative to the application root (parent of current DATA),
    not the process working directory.
  - All other top-level slots resolve relative to the current DATA root.
  - Validation is non-blocking: missing/wrong-kind paths warn, but assignment
    still succeeds.
Slots:
  DATA DBF XDBF INDEXES LMDB WORKSPACES SCHEMAS PROJECTS SCRIPTS TESTS HELP LOGS TMP"
SET RELATION,src/cli/cmd_set_relation.cpp,DOT|SET RELATION,relations,supported,configure,relation-state,SET RELATION USAGE,"FoxPro-compatible SET RELATION parser that configures parent-to-child
  relations through the relations_api backend.","SET RELATION USAGE
  SET RELATION TO <expr> INTO <child>
  SET RELATION TO <expr> INTO <child>, <expr> INTO <child>
  SET RELATION ADDITIVE TO <expr> INTO <child>
  SET RELATION OFF ALL
  SET RELATION OFF INTO <child>",,"SET RELATION with no arguments shows usage.
  SET RELATION requires a current parent area except for usage.
  ADDITIVE preserves existing relations and adds more clauses.
  Non-additive SET RELATION clears current parent relations before adding clauses.
  OFF ALL clears all relations for the current parent.
  OFF INTO <child> removes one child relation.
  Expressions are currently field-list strings reused through relations_api field semantics.",,"REL
  RELATION
  WORKSPACE
  ERSATZ","FoxPro-compatible SET RELATION parser
Supported syntax:
  SET RELATION TO <expr> INTO <child>
  SET RELATION TO <expr> INTO <child>, <expr> INTO <child> ...
  SET RELATION ADDITIVE TO <expr> INTO <child>
  SET RELATION OFF ALL
  SET RELATION OFF INTO <child>
Notes:
- Uses the existing relations_api backend from set_relations.cpp.
- Does not synthesize REL text and re-parse it.
- Current implementation treats <expr> as a field list string and reuses
  split_fields_csv semantics via comma splitting if needed later."
SET UNIQUE,src/cli/cmd_setunique.cpp,DOT|SET UNIQUE,constraints,supported,configure,unique-field-registry,SET UNIQUE USAGE,Report or configure per-table unique-field registry entries.,"SET UNIQUE
  SET UNIQUE USAGE
  SET UNIQUE FIELD <name> ON
  SET UNIQUE FIELD <name> OFF",,"SET UNIQUE with no arguments lists current unique fields.
  FIELD <name> ON marks a field as unique in the registry.
  FIELD <name> OFF clears the unique marker.
  This mutates uniqueness metadata only; it does not rewrite table records.",,"SET
  FIELDMGR
  CREATE","SET UNIQUE FIELD <name> ON|OFF
Lists current unique fields if called without args."
SETPATH,src/cli/cmd_setpath.cpp,DOT|SETPATH_PATHS_IMPL,environment-helper,implementation-helper,path-slot-support,path-slots-through-api,owned-by cmd_setpath_command.cpp,Path-slot support implementation used by SETPATH and related commands.,"This file does not export cmd_SETPATH.
  Runtime SETPATH usage is owned by the command handler in cmd_setpath_command.cpp.",,"This file owns path-slot normalization, defaults, and dump/report support.
  Do not add shell dispatch here unless SETPATH ownership is moved deliberately.",,,
SFTP,src/cli/cmd_sftp.cpp,DOT|SFTP,network,supported,network-or-file,optional-filesystem remote-filesystem,SFTP USAGE,"Wrap the system OpenSSH sftp client for LS, GET, and PUT file transfer.","SFTP USAGE
  SFTP LS <user@host:/remote/path>
  SFTP GET <user@host:/remote/file> TO <local-file>
  SFTP PUT <local-file> TO <user@host:/remote/file>","SFTP LS derald@example.com:/home/derald/data
  SFTP GET derald@example.com:/home/derald/data/students.dbf TO students.dbf
  SFTP PUT students.dbf TO derald@example.com:/home/derald/data/students.dbf","SFTP USAGE prints usage and does not start the sftp client.
  This command stages a temporary sftp batch file and invokes the system sftp client.
  Password embedding in URLs is deliberately not supported.",,"WEB
  PSHELL","  SFTP LS user@host:/remote/path
  SFTP GET user@host:/remote/file TO local-file
  SFTP PUT local-file TO user@host:/remote/file
Also accepted:
  SFTP LS sftp://user@host/remote/path
  SFTP GET sftp://user@host/remote/file TO local-file
  SFTP PUT local-file TO sftp://user@host/remote/file
Notes:
  - Port selection is deliberately deferred.
  - Password embedding in URLs is deliberately not supported.
  - This module stages a temporary sftp batch file and invokes:
      sftp -b <batch-file> <user@host>"
SHOW,src/cli/cmd_sql_show.cpp,DOT|SHOW,diagnostics,supported,report,cursor-temporary,SHOW USAGE,"Show table, column, or active order/index information for the current work
  area.","SHOW
  SHOW USAGE
  SHOW COLUMNS
  SHOW TABLE
  SHOW INDEX","SHOW
  SHOW COLUMNS
  SHOW TABLE
  SHOW INDEX","SHOW with no arguments displays columns.
  SHOW TABLE scans records to count deleted rows and restores cursor best-effort.
  SHOW INDEX reports physical/order/tag state when available.
  SHOW USAGE prints usage before open-table checks or cursor movement.",,"STRUCT
  DISPLAY
  SET ORDER","src/cli/cmd_sql_show.cpp
SHOW family: SHOW TABLE | SHOW COLUMNS | SHOW INDEX
- SHOW TABLE   : one-screen summary of current work area
- SHOW COLUMNS : column layout (similar to FIELDS/STRUCT but compact)
- SHOW INDEX   : order/index summary (graceful on non-order builds)"
SHOWINI,src/cli/cmd_showini.cpp,DOT|SHOWINI,diagnostics,supported,report,none,SHOWINI USAGE,"Display a table-specific .ini file, either derived from the current table or
  from an explicit file/path.","SHOWINI
  SHOWINI USAGE
  SHOWINI <table-or-ini>
  SHOWINI PATH <ini-file>","SHOWINI
  SHOWINI students
  SHOWINI students.ini
  SHOWINI PATH d:\data\students.ini","SHOWINI with no arguments derives the .ini path from the current table.
  SHOWINI USAGE prints usage before open-table checks or file reads.
  SHOWINI reads .ini files and prints parsed sections/keys; it does not write files.",,"SHOWINI
  SETPATH
  STATUS","cmd_showini.cpp
DotTalk++ SHOWINI command
Displays table.ini contents"
SHUTDOWN,src/cli/cmd_shutdown.cpp,DOT|SHUTDOWN,script,supported,execute,delegates-command-effects session filesystem,SHUTDOWN USAGE,Run the optional shutdown.ini script from the executable directory.,"SHUTDOWN
  SHUTDOWN USAGE",,"SHUTDOWN with no arguments looks for shutdown.ini beside the executable and executes it when present.
  SHUTDOWN USAGE prints usage and does not execute shutdown.ini.
  Each non-empty shutdown.ini line is executed through the shell command executor.
  UTF-8 BOM and trailing carriage returns are handled.
  SHUTDOWN may indirectly mutate data, session state, or files depending on script contents.",,"INIT
  TEST
  DOTSCRIPT","src/cli/cmd_shutdown.cpp
Runs optional shutdown script from bin/shutdown.ini"
SIMPLEBROWSE,src/cli/cmd_simple_browser.cpp,DOT|SIMPLEBROWSE,browser,supported,launch-ui-or-report,cursor-or-ui-state interactive-edit-optional,SIMPLEBROWSE USAGE,"Canonical single-table DBF browser/editor, order-aware through the shared
  order iterator.","SIMPLEBROWSE
  SIMPLEBROWSE USAGE
  SIMPLEBROWSE [FOR <expr>] [RAW|PRETTY] [PAGE <n>] [ALL] [TOP|BOTTOM]
  SIMPLEBROWSE [START KEY <literal>] [QUIET] [EDIT|SESSION]","SIMPLEBROWSE
  SIMPLEBROWSE PAGE 20
  SIMPLEBROWSE FOR GPA >= 3.0
  SIMPLEBROWSE START KEY SMITH
  SIMPLEBROWSE EDIT","SIMPLEBROWSE USAGE prints usage before open-table checks or UI launch.
  Non-interactive listing restores the cursor best-effort.
  Interactive edit/session mode intentionally leaves cursor at final position.
  Table mutation occurs only through explicit interactive edit/save/delete actions.",,"WORKSPACE
  RBROWSE
  SMARTBROWSE","  R refresh order  |  ? help         | Q quit
Notes:
- Respects active order through shared order_iterator (INX/CNX/CDX).
- START KEY uses existing SEEK (respects current order).
- FOR supports:
    * classic  FOR <field> <op> <value>
    * richer boolean/algebraic expressions via where_eval
- Deleted rows are hidden by default (future: wire to SET DELETED).
- Interactive edit uses DbArea::set(1-based) + writeCurrent(); staging per-record.
- After SAVE/DEL/RECALL, we rebuild the order vector and re-sync the cursor.
- Non-interactive listing restores the original cursor position on exit.
-----------------------------------------------------------------------------"
SIX,src/edu/edu_six.cpp,EDU|SIX,education-index,implementation-present,create-build-inspect-index-stub,filesystem index-stub,SIX USAGE,Educational SIX/local-index stub command for create/build/info operations.,"SIX USAGE
  SIX CREATE <file> TAG <name> FIELD <n>
  SIX BUILD <file>
  SIX INFO <file>","SIX CREATE students.six TAG LNAME FIELD 2
  SIX BUILD students.six
  SIX INFO students.six","SIX USAGE/HELP/? returns before creating, building, or reading index files.
  This file defines cmd_SIX but does not itself register the command.",,,
SKIP,src/cli/cmd_skip.cpp,DOT|SKIP,navigation,supported,navigate,cursor,SKIP USAGE,"Move the current work-area cursor forward or backward using filter-aware
  navigation selection.","SKIP
  SKIP USAGE
  SKIP <n>",,"SKIP with no arguments moves forward one logical record.
  SKIP <n> moves forward when n is positive and backward when n is negative.
  SKIP 0 rereads the current record.
  SKIP requires an open table except for SKIP USAGE.
  Navigation uses the shared filter-aware selector.
  SKIP mutates cursor position but does not mutate table data.",,"GOTO
  TOP
  BOTTOM
  GPS",
SMARTLIST,src/cli/cmd_smartlist.cpp,DOT|SMARTLIST,report,supported,report,cursor,SMARTLIST USAGE,"Filter-aware, order-aware table listing with optional projections, tuple
  output, debug tracing, deleted-record modes, and predicate filtering.","SMARTLIST
  SMARTLIST USAGE
  SMARTLIST <fields>
  SMARTLIST ALL
  SMARTLIST <limit>
  SMARTLIST NEXT <n>
  SMARTLIST FIRST <n>
  SMARTLIST DELETED
  SMARTLIST DEBUG
  SMARTLIST TUPLES
  SMARTLIST FOR <pred>",,"SMARTLIST requires an open table except for SMARTLIST USAGE.
  SMARTLIST with no arguments preserves existing behavior and prints usage before continuing with default listing.
  Field projections are comma-separated.
  ALL removes the output limit.
  NEXT and FIRST limit scan scope.
  DELETED selects deleted records.
  TUPLES emits tuple bridge output.
  DEBUG emits order/filter diagnostics.
  FOR applies predicate filtering.
  SMARTLIST restores the original cursor best-effort after listing.
  SMARTLIST is read-only for table data.",,"LIST
  COUNT
  LOCATE
  DUMP","src/cli/cmd_smartlist.cpp
SMARTLIST — LIST-style output honoring current order with classic or AST-based FOR filtering.
Usage:
  SMARTLIST [ALL | <limit> | DELETED] [DEBUG] [TUPLES] [FOR <pred>]
Notes:
  • Ordering: respects current INX/CNX/CDX/LMDB (ASC/DESC) like LIST.
  • Deletion visibility: default hides deleted unless ALL; ""DELETED""
    shows only deleted; ""FOR !DELETED"" also supported.
  • Filtering: supports classic FOR <field> <op> <value> and AST-style expressions.
    SQL-ish input is normalized via sql_to_dottalk_where before compile.
  • DEBUG: prints a couple of diagnostics."
SMART_BROWSER,src/cli/cmd_smart_browser.cpp,DOT|SMART_BROWSER,browser,supported,browse,cursor,SMART_BROWSER USAGE,"Interactive tuple-stream smart browser with paging, relation child browsing,
  schema/json display toggles, filtering, navigation, and breadcrumbs.","SMART_BROWSER
  SMART_BROWSER USAGE
  SMART_BROWSER <spec>
  SMART_BROWSER <spec> FOR <expr>
  SMART_BROWSER <spec> PAGESIZE <n>
  SMART_BROWSER <spec> SHOW SCHEMA
  SMART_BROWSER <spec> SHOW JSON
  SMART_BROWSER <spec> STATUS VERBOSE
  SMARTBROWSER
  SMARTBROWSER USAGE",,"SMART_BROWSER with no arguments opens the interactive browser using default spec.
  SMARTBROWSER is an alias entrypoint.
  The browser is read-only for table data but traverses tuple streams and may move cursors.
  Work-area cursors are restored best-effort when the browser exits.
  Interactive pager commands include TOP, BOTTOM, SKIP, GOTO, FOR, CLEAR FOR, ORDER, SPEC, SHOW, OPEN CHILD, BACK, STATUS, HELP, and QUIT.",,"SMARTLIST
  TUPLE
  RBROWSE",src/cli/cmd_smart_browser.cpp
SORT,src/cli/cmd_sort.cpp,DOT|SORT,data,supported,create,filesystem dbf-output cursor,SORT USAGE,"Create a sorted DBF copy from the current table using expression keys,
  optional filters, projection fields, deleted-record selection, and UNIQUE.","SORT USAGE
  SORT TO <outdbf> ON <expr>
  SORT TO <outdbf> ON <expr> ASC
  SORT TO <outdbf> ON <expr> DESC
  SORT TO <outdbf> ON <expr>, <expr>
  SORT ALL TO <outdbf> ON <expr>
  SORT DELETED TO <outdbf> ON <expr>
  SORT OVERWRITE TO <outdbf> ON <expr>
  SORT TO <outdbf> ON <expr> FOR <expr>
  SORT TO <outdbf> ON <expr> WHILE <expr>
  SORT TO <outdbf> ON <expr> FIELDS <fieldlist>
  SORT TO <outdbf> ON <expr> UNIQUE",,"SORT requires an open table except for SORT USAGE.
  SORT creates a DBF output file and refuses existing output unless OVERWRITE is supplied.
  ALL includes deleted records; DELETED selects only deleted records.
  ON accepts one or more key expressions.
  ASC and DESC can be attached to key expressions.
  FOR and WHILE filter selected records.
  FIELDS projects selected fields into the output table.
  UNIQUE suppresses duplicate adjacent key sets after sorting.
  SORT scans the source table and writes a new DBF; it does not mutate source table records.",,"INDEX
  REINDEX
  COPY TO
  EXPORT",
SQL,src/cli/cmd_sql.cpp,DOT|SQL,sql,supported,query,cursor-temporary,SQL USAGE,Evaluate SQL-like COUNT/FOR predicates over the current DBF work area.,"SQL USAGE
  SQL [COUNT] [ALL|DELETED] [FOR <expr> | <expr>] [VERBOSE]","SQL COUNT
  SQL COUNT ALL
  SQL COUNT DELETED
  SQL COUNT FOR GPA >= 3.0
  SQL LNAME = ""SMITH""
  SQL VERBOSE COUNT FOR GPA >= 3.0","SQL USAGE prints usage before open-table checks.
  SQL reads records and may temporarily move the cursor.
  SQL does not mutate table data.",,"SQLSEL
  WHERE
  WHERECACHE","src/cli/cmd_sql.cpp
SQL command ? COUNT with optional ALL|DELETED and FOR <expr>.
Uses shared DotTalk evaluator + LRU cache (DOTTALK_WHERECACHE, default 256).
Change: Suppress ""false"" per-record logs by default. Print per-record lines
only for matches (ok==true). Use VERBOSE to print all (true/false) details."
SQLERASE,src/cli/cmd_sql_erase.cpp,DOT|SQLERASE,sql,supported,delete-records,table-data,SQLERASE USAGE,Mark records deleted using SQL-like ERASE FROM <table> WHERE <expr> syntax.,"SQLERASE USAGE
  SQLERASE FROM <table> WHERE <expr>","SQLERASE FROM STUDENTS WHERE SID = 1001
  SQLERASE FROM STUDENTS WHERE GPA < 1.0","SQLERASE USAGE prints usage before open-table checks.
  WHERE is required to reduce accidental destructive operations.
  SQLERASE mutates table data by marking matching records deleted.",,"ERASE
  RECALL
  ZAP",
SQLHELP,src/cli/cmd_sql_help.cpp,DOT|SQLHELP,reference,supported,report,none,SQLHELP USAGE,Display or search the SQL helper/reference catalog.,"SQLHELP
  SQLHELP USAGE
  SQLHELP LIST-CATEGORIES
  SQLHELP <category>
  SQLHELP <term>","SQLHELP
  SQLHELP INDEXING
  SQLHELP CREATE-INDEX
  SQLHELP LIST-CATEGORIES","SQLHELP with no arguments displays the grouped SQL reference.
  SQLHELP USAGE prints command usage without searching the catalog.
  SQLHELP is read-only and does not execute SQL.",,"SQL
  SHOW
  PSHELL",cmd_sql_help.cpp
